2022-04-25 12:56:50.206 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-04-25 12:56:50.216 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-04-25 12:59:04.493 [main] INFO  com.newcoder.community.MapperTests - Starting MapperTests using Java 11.0.5 on DESKTOP-USTD7I1 with PID 178716 (started by xiu in F:\javaProject\community)
2022-04-25 12:59:04.495 [main] INFO  com.newcoder.community.MapperTests - No active profile set, falling back to 1 default profile: "default"
2022-04-25 12:59:06.066 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2022-04-25 12:59:06.292 [main] INFO  com.newcoder.community.MapperTests - Started MapperTests in 2.304 seconds (JVM running for 3.268)
2022-04-25 12:59:06.602 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-04-25 12:59:06.759 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-04-25 12:59:06.873 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-04-25 12:59:06.921 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-04-25 13:00:00.522 [main] INFO  com.newcoder.community.MapperTests - Starting MapperTests using Java 11.0.5 on DESKTOP-USTD7I1 with PID 179820 (started by xiu in F:\javaProject\community)
2022-04-25 13:00:00.525 [main] INFO  com.newcoder.community.MapperTests - No active profile set, falling back to 1 default profile: "default"
2022-04-25 13:00:02.021 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2022-04-25 13:00:02.264 [main] INFO  com.newcoder.community.MapperTests - Started MapperTests in 2.251 seconds (JVM running for 3.142)
2022-04-25 13:00:02.566 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-04-25 13:00:02.742 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-04-25 13:00:02.960 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-04-25 13:00:03.024 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-04-25 16:40:14.059 [restartedMain] INFO  com.newcoder.community.CommunityApplication - Starting CommunityApplication using Java 11.0.5 on DESKTOP-USTD7I1 with PID 189784 (F:\javaProject\community\target\classes started by xiu in F:\javaProject\community)
2022-04-25 16:40:14.092 [restartedMain] INFO  com.newcoder.community.CommunityApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-25 16:40:14.124 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-25 16:40:14.125 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-25 16:40:15.236 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-04-25 16:40:15.237 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2022-04-25 16:40:15.237 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2022-04-25 16:40:15.237 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2022-04-25 16:40:15.237 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-04-25 16:40:15.259 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2022-04-25 16:40:15.266 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-04-25 16:40:15.267 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-25 16:40:15.267 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-25 16:40:15.350 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/community] - Initializing Spring embedded WebApplicationContext
2022-04-25 16:40:15.351 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1226 ms
2022-04-25 16:40:15.933 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2022-04-25 16:40:16.031 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-04-25 16:40:16.043 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-04-25 16:40:16.056 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/community'
2022-04-25 16:40:16.064 [restartedMain] INFO  com.newcoder.community.CommunityApplication - Started CommunityApplication in 2.546 seconds (JVM running for 4.229)
2022-04-25 16:40:37.803 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/community] - Initializing Spring DispatcherServlet 'dispatcherServlet'
